2025-04-07 13:11:08,336 | 201 Created | Dados enviados com sucesso
2025-04-07 13:11:48,063 | 201 Created | Dados enviados com sucesso
2025-04-07 13:11:53,073 | 201 Created | Dados enviados com sucesso
2025-04-07 13:11:58,080 | 201 Created | Dados enviados com sucesso
2025-04-07 13:12:03,089 | 201 Created | Dados enviados com sucesso
2025-04-07 13:12:08,100 | 201 Created | Dados enviados com sucesso
2025-04-07 13:12:13,112 | 201 Created | Dados enviados com sucesso
2025-04-07 13:12:18,124 | 201 Created | Dados enviados com sucesso
2025-04-07 13:12:23,132 | 201 Created | Dados enviados com sucesso
2025-04-07 13:12:28,143 | 201 Created | Dados enviados com sucesso
2025-04-07 13:12:33,156 | 201 Created | Dados enviados com sucesso
2025-04-07 13:12:38,166 | 201 Created | Dados enviados com sucesso
2025-04-07 13:12:43,173 | 201 Created | Dados enviados com sucesso
2025-04-07 13:12:48,185 | 201 Created | Dados enviados com sucesso
2025-04-07 13:12:53,196 | 201 Created | Dados enviados com sucesso
2025-04-07 13:12:58,208 | 201 Created | Dados enviados com sucesso
2025-04-07 13:13:03,218 | 201 Created | Dados enviados com sucesso
2025-04-07 13:13:08,230 | 201 Created | Dados enviados com sucesso
2025-04-07 13:13:13,245 | 201 Created | Dados enviados com sucesso
2025-04-07 13:13:18,259 | 201 Created | Dados enviados com sucesso
2025-04-07 13:13:23,269 | 201 Created | Dados enviados com sucesso
2025-04-07 13:13:28,283 | 201 Created | Dados enviados com sucesso
2025-04-07 13:13:33,293 | 201 Created | Dados enviados com sucesso
2025-04-07 13:13:38,302 | 201 Created | Dados enviados com sucesso
2025-04-07 13:13:43,312 | 201 Created | Dados enviados com sucesso
2025-04-07 13:13:48,321 | 201 Created | Dados enviados com sucesso
2025-04-07 13:13:53,329 | 201 Created | Dados enviados com sucesso
2025-04-07 13:13:58,341 | 201 Created | Dados enviados com sucesso
2025-04-07 13:14:03,349 | 201 Created | Dados enviados com sucesso
2025-04-07 13:14:08,360 | 201 Created | Dados enviados com sucesso
2025-04-07 13:14:13,368 | 201 Created | Dados enviados com sucesso
2025-04-07 13:14:18,377 | 201 Created | Dados enviados com sucesso
2025-04-07 13:14:23,385 | 201 Created | Dados enviados com sucesso
2025-04-07 13:14:28,392 | 201 Created | Dados enviados com sucesso
2025-04-07 13:14:33,404 | 201 Created | Dados enviados com sucesso
2025-04-07 13:14:38,421 | 201 Created | Dados enviados com sucesso
2025-04-07 13:14:43,431 | 201 Created | Dados enviados com sucesso
2025-04-07 13:14:48,459 | 201 Created | Dados enviados com sucesso
2025-04-07 13:14:53,467 | 201 Created | Dados enviados com sucesso
2025-04-07 13:14:58,477 | 201 Created | Dados enviados com sucesso
2025-04-07 13:15:03,493 | 201 Created | Dados enviados com sucesso
2025-04-07 13:15:08,500 | 201 Created | Dados enviados com sucesso
2025-04-07 13:15:13,521 | 201 Created | Dados enviados com sucesso
2025-04-07 13:15:18,538 | 201 Created | Dados enviados com sucesso
2025-04-07 13:15:23,544 | 201 Created | Dados enviados com sucesso
2025-04-07 13:15:28,558 | 201 Created | Dados enviados com sucesso
2025-04-07 13:15:33,566 | 201 Created | Dados enviados com sucesso
2025-04-07 13:15:38,578 | 201 Created | Dados enviados com sucesso
2025-04-07 13:15:43,588 | 201 Created | Dados enviados com sucesso
2025-04-07 13:15:48,601 | 201 Created | Dados enviados com sucesso
2025-04-07 13:15:53,611 | 201 Created | Dados enviados com sucesso
2025-04-07 13:15:58,622 | 201 Created | Dados enviados com sucesso
2025-04-07 13:16:03,638 | 201 Created | Dados enviados com sucesso
